  
 Model:
  LAYER     H(km)     Vp(km/s)     Vs(km/s)  Density     QA(inv)     QB(inv)
   33   0.495E-10 -0.127E-08  0.000E+00  0.166E-20  0.709E-21
   34   0.227E-10 -0.579E-09  0.000E+00  0.348E-21  0.148E-21
   35   0.104E-10 -0.265E-09  0.000E+00  0.728E-22  0.311E-22
   36   0.475E-11 -0.121E-09  0.000E+00  0.153E-22  0.652E-23
   37   0.218E-11 -0.556E-10  0.000E+00  0.320E-23  0.137E-23
   38   0.996E-12 -0.254E-10  0.000E+00  0.670E-24  0.286E-24
   39   0.456E-12 -0.116E-10  0.000E+00  0.140E-24  0.600E-25
   40   0.209E-12 -0.533E-11  0.000E+00  0.294E-25  0.126E-25
   41   0.955E-13 -0.244E-11  0.000E+00  0.617E-26  0.264E-26
   42   0.437E-13 -0.112E-11  0.000E+00  0.129E-26  0.552E-27
   43   0.200E-13 -0.512E-12  0.000E+00  0.271E-27  0.116E-27
   44   0.916E-14 -0.234E-12  0.000E+00  0.718E-28  0.307E-28


                   LOVE WAVE        MODE #  0
        T = 0.2564E+01 C =    0.2549E+01 U   = 0.2295E+01
        AL= 0.1862E-01 GAMMA= 0.1780E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.714E-01  0.441E+00 -0.329E-01
    2   0.940E+00 -0.136E+01 -0.714E-01  0.356E+00 -0.177E-01
    3   0.769E+00 -0.255E+01 -0.714E-01  0.226E+00  0.568E-02
    4   0.506E+00 -0.345E+01 -0.714E-01  0.111E+00  0.264E-01
    5   0.183E+00 -0.393E+01  0.000E+00  0.242E-01  0.101E-01
    6   0.947E-01 -0.204E+01  0.000E+00  0.650E-02  0.272E-02
    7   0.491E-01 -0.105E+01  0.000E+00  0.175E-02  0.730E-03
    8   0.254E-01 -0.547E+00  0.000E+00  0.469E-03  0.196E-03
    9   0.132E-01 -0.283E+00  0.000E+00  0.126E-03  0.527E-04
   10   0.683E-02 -0.147E+00  0.000E+00  0.338E-04  0.142E-04
   11   0.354E-02 -0.761E-01  0.000E+00  0.909E-05  0.380E-05
   12   0.183E-02 -0.394E-01  0.000E+00  0.244E-05  0.102E-05
   13   0.951E-03 -0.204E-01  0.000E+00  0.656E-06  0.274E-06
   14   0.493E-03 -0.106E-01  0.000E+00  0.176E-06  0.736E-07
   15   0.255E-03 -0.549E-02  0.000E+00  0.473E-07  0.198E-07
   16   0.132E-03 -0.284E-02  0.000E+00  0.127E-07  0.531E-08
   17   0.686E-04 -0.147E-02  0.000E+00  0.341E-08  0.143E-08
   18   0.355E-04 -0.764E-03  0.000E+00  0.916E-09  0.383E-09
   19   0.184E-04 -0.396E-03  0.000E+00  0.246E-09  0.103E-09
   20   0.954E-05 -0.205E-03  0.000E+00  0.661E-10  0.276E-10
   21   0.495E-05 -0.106E-03  0.000E+00  0.177E-10  0.742E-11
   22   0.256E-05 -0.551E-04  0.000E+00  0.477E-11  0.199E-11
   23   0.133E-05 -0.286E-04  0.000E+00  0.128E-11  0.535E-12
   24   0.688E-06 -0.148E-04  0.000E+00  0.344E-12  0.144E-12
   25   0.357E-06 -0.767E-05  0.000E+00  0.924E-13  0.386E-13
   26   0.185E-06 -0.398E-05  0.000E+00  0.248E-13  0.104E-13
   27   0.958E-07 -0.206E-05  0.000E+00  0.666E-14  0.279E-14
   28   0.497E-07 -0.107E-05  0.000E+00  0.179E-14  0.748E-15
   29   0.257E-07 -0.553E-06  0.000E+00  0.481E-15  0.201E-15
   30   0.133E-07 -0.287E-06  0.000E+00  0.129E-15  0.540E-16
   31   0.691E-08 -0.149E-06  0.000E+00  0.347E-16  0.145E-16
   32   0.358E-08 -0.770E-07  0.000E+00  0.931E-17  0.389E-17
   33   0.186E-08 -0.399E-07  0.000E+00  0.250E-17  0.105E-17
   34   0.962E-09 -0.207E-07  0.000E+00  0.672E-18  0.281E-18
   35   0.499E-09 -0.107E-07  0.000E+00  0.180E-18  0.754E-19
   36   0.258E-09 -0.556E-08  0.000E+00  0.484E-19  0.203E-19
   37   0.134E-09 -0.288E-08  0.000E+00  0.130E-19  0.544E-20
   38   0.694E-10 -0.149E-08  0.000E+00  0.349E-20  0.146E-20
   39   0.360E-10 -0.773E-09  0.000E+00  0.939E-21  0.393E-21
   40   0.186E-10 -0.401E-09  0.000E+00  0.252E-21  0.105E-21
   41   0.966E-11 -0.208E-09  0.000E+00  0.677E-22  0.283E-22
   42   0.501E-11 -0.108E-09  0.000E+00  0.182E-22  0.760E-23
   43   0.259E-11 -0.558E-10  0.000E+00  0.488E-23  0.204E-23
   44   0.134E-11 -0.289E-10  0.000E+00  0.179E-23  0.750E-24


                   LOVE WAVE        MODE #  0
        T = 0.2941E+01 C =    0.2593E+01 U   = 0.2276E+01
        AL= 0.1793E-01 GAMMA= 0.1564E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.912E-01  0.433E+00 -0.422E-01
    2   0.943E+00 -0.130E+01 -0.912E-01  0.357E+00 -0.235E-01
    3   0.778E+00 -0.245E+01 -0.912E-01  0.239E+00  0.563E-02
    4   0.525E+00 -0.333E+01 -0.912E-01  0.130E+00  0.322E-01
    5   0.212E+00 -0.382E+01  0.000E+00  0.342E-01  0.139E-01
    6   0.122E+00 -0.220E+01  0.000E+00  0.114E-01  0.462E-02
    7   0.702E-01 -0.127E+01  0.000E+00  0.376E-02  0.153E-02
    8   0.404E-01 -0.730E+00  0.000E+00  0.125E-02  0.508E-03
    9   0.233E-01 -0.420E+00  0.000E+00  0.414E-03  0.168E-03
   10   0.134E-01 -0.242E+00  0.000E+00  0.137E-03  0.558E-04
   11   0.772E-02 -0.139E+00  0.000E+00  0.455E-04  0.185E-04
   12   0.445E-02 -0.802E-01  0.000E+00  0.151E-04  0.614E-05
   13   0.256E-02 -0.462E-01  0.000E+00  0.501E-05  0.204E-05
   14   0.147E-02 -0.266E-01  0.000E+00  0.166E-05  0.675E-06
   15   0.849E-03 -0.153E-01  0.000E+00  0.550E-06  0.224E-06
   16   0.489E-03 -0.882E-02  0.000E+00  0.183E-06  0.742E-07
   17   0.281E-03 -0.508E-02  0.000E+00  0.605E-07  0.246E-07
   18   0.162E-03 -0.293E-02  0.000E+00  0.201E-07  0.816E-08
   19   0.933E-04 -0.168E-02  0.000E+00  0.666E-08  0.271E-08
   20   0.538E-04 -0.970E-03  0.000E+00  0.221E-08  0.898E-09
   21   0.310E-04 -0.559E-03  0.000E+00  0.732E-09  0.298E-09
   22   0.178E-04 -0.322E-03  0.000E+00  0.243E-09  0.987E-10
   23   0.103E-04 -0.185E-03  0.000E+00  0.805E-10  0.327E-10
   24   0.591E-05 -0.107E-03  0.000E+00  0.267E-10  0.109E-10
   25   0.340E-05 -0.614E-04  0.000E+00  0.885E-11  0.360E-11
   26   0.196E-05 -0.354E-04  0.000E+00  0.294E-11  0.119E-11
   27   0.113E-05 -0.204E-04  0.000E+00  0.973E-12  0.396E-12
   28   0.650E-06 -0.117E-04  0.000E+00  0.323E-12  0.131E-12
   29   0.374E-06 -0.676E-05  0.000E+00  0.107E-12  0.435E-13
   30   0.216E-06 -0.389E-05  0.000E+00  0.355E-13  0.144E-13
   31   0.124E-06 -0.224E-05  0.000E+00  0.118E-13  0.479E-14
   32   0.715E-07 -0.129E-05  0.000E+00  0.390E-14  0.159E-14
   33   0.412E-07 -0.743E-06  0.000E+00  0.129E-14  0.526E-15
   34   0.237E-07 -0.428E-06  0.000E+00  0.429E-15  0.175E-15
   35   0.137E-07 -0.246E-06  0.000E+00  0.142E-15  0.579E-16
   36   0.786E-08 -0.142E-06  0.000E+00  0.472E-16  0.192E-16
   37   0.453E-08 -0.817E-07  0.000E+00  0.157E-16  0.637E-17
   38   0.261E-08 -0.471E-07  0.000E+00  0.519E-17  0.211E-17
   39   0.150E-08 -0.271E-07  0.000E+00  0.172E-17  0.700E-18
   40   0.864E-09 -0.156E-07  0.000E+00  0.571E-18  0.232E-18
   41   0.498E-09 -0.899E-08  0.000E+00  0.189E-18  0.770E-19
   42   0.287E-09 -0.517E-08  0.000E+00  0.628E-19  0.255E-19
   43   0.165E-09 -0.298E-08  0.000E+00  0.208E-19  0.847E-20
   44   0.951E-10 -0.172E-08  0.000E+00  0.103E-19  0.420E-20


                   LOVE WAVE        MODE #  0
        T = 0.3571E+01 C =    0.2676E+01 U   = 0.2255E+01
        AL= 0.1656E-01 GAMMA= 0.1300E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.126E+00  0.415E+00 -0.588E-01
    2   0.947E+00 -0.120E+01 -0.126E+00  0.354E+00 -0.346E-01
    3   0.795E+00 -0.228E+01 -0.126E+00  0.256E+00  0.375E-02
    4   0.558E+00 -0.312E+01 -0.126E+00  0.163E+00  0.406E-01
    5   0.263E+00 -0.363E+01  0.000E+00  0.546E-01  0.210E-01
    6   0.172E+00 -0.238E+01  0.000E+00  0.235E-01  0.901E-02
    7   0.113E+00 -0.156E+01  0.000E+00  0.101E-01  0.387E-02
    8   0.740E-01 -0.102E+01  0.000E+00  0.434E-02  0.166E-02
    9   0.485E-01 -0.670E+00  0.000E+00  0.186E-02  0.715E-03
   10   0.318E-01 -0.439E+00  0.000E+00  0.802E-03  0.307E-03
   11   0.209E-01 -0.288E+00  0.000E+00  0.345E-03  0.132E-03
   12   0.137E-01 -0.189E+00  0.000E+00  0.148E-03  0.568E-04
   13   0.896E-02 -0.124E+00  0.000E+00  0.637E-04  0.244E-04
   14   0.588E-02 -0.812E-01  0.000E+00  0.274E-04  0.105E-04
   15   0.385E-02 -0.532E-01  0.000E+00  0.118E-04  0.451E-05
   16   0.253E-02 -0.349E-01  0.000E+00  0.506E-05  0.194E-05
   17   0.166E-02 -0.229E-01  0.000E+00  0.217E-05  0.833E-06
   18   0.109E-02 -0.150E-01  0.000E+00  0.934E-06  0.358E-06
   19   0.712E-03 -0.983E-02  0.000E+00  0.401E-06  0.154E-06
   20   0.467E-03 -0.645E-02  0.000E+00  0.173E-06  0.662E-07
   21   0.306E-03 -0.423E-02  0.000E+00  0.742E-07  0.284E-07
   22   0.201E-03 -0.277E-02  0.000E+00  0.319E-07  0.122E-07
   23   0.132E-03 -0.182E-02  0.000E+00  0.137E-07  0.526E-08
   24   0.862E-04 -0.119E-02  0.000E+00  0.589E-08  0.226E-08
   25   0.565E-04 -0.781E-03  0.000E+00  0.253E-08  0.971E-09
   26   0.371E-04 -0.512E-03  0.000E+00  0.109E-08  0.417E-09
   27   0.243E-04 -0.336E-03  0.000E+00  0.468E-09  0.179E-09
   28   0.159E-04 -0.220E-03  0.000E+00  0.201E-09  0.771E-10
   29   0.104E-04 -0.144E-03  0.000E+00  0.864E-10  0.331E-10
   30   0.685E-05 -0.946E-04  0.000E+00  0.371E-10  0.142E-10
   31   0.449E-05 -0.620E-04  0.000E+00  0.160E-10  0.612E-11
   32   0.294E-05 -0.406E-04  0.000E+00  0.686E-11  0.263E-11
   33   0.193E-05 -0.266E-04  0.000E+00  0.295E-11  0.113E-11
   34   0.127E-05 -0.175E-04  0.000E+00  0.127E-11  0.486E-12
   35   0.830E-06 -0.115E-04  0.000E+00  0.545E-12  0.209E-12
   36   0.544E-06 -0.751E-05  0.000E+00  0.234E-12  0.899E-13
   37   0.357E-06 -0.492E-05  0.000E+00  0.101E-12  0.386E-13
   38   0.234E-06 -0.323E-05  0.000E+00  0.433E-13  0.166E-13
   39   0.153E-06 -0.212E-05  0.000E+00  0.186E-13  0.714E-14
   40   0.100E-06 -0.139E-05  0.000E+00  0.800E-14  0.307E-14
   41   0.659E-07 -0.910E-06  0.000E+00  0.344E-14  0.132E-14
   42   0.432E-07 -0.596E-06  0.000E+00  0.148E-14  0.567E-15
   43   0.283E-07 -0.391E-06  0.000E+00  0.635E-15  0.244E-15
   44   0.186E-07 -0.256E-06  0.000E+00  0.479E-15  0.184E-15


                   LOVE WAVE        MODE #  0
